SUBJECT: DK_729_POST_INJ_7-25-13
DATE: 25-Jul-2013

START TIME: 14:54:48

TIME_(s)	X_POSITION_(cm)	Y_POSITION_(cm)	ORIENTATION_(degrees)	LENGTH_(cm)
1401.443	7.43	50.16	63.51	8.32
1402.818	35.95	40.12	42.90	6.77
1403.234	49.02	29.44	50.00	7.17
1403.907	44.54	15.46	-39.16	7.54
1405.010	28.96	14.23	8.28	8.33
1405.426	29.95	19.09	82.34	7.32
1406.035	35.78	40.92	84.26	8.24
1406.723	43.51	56.91	37.14	7.55
1407.139	34.92	57.49	-22.19	7.68
1407.827	26.84	52.96	-40.46	8.02
1408.243	24.97	52.28	-43.06	7.98
1408.931	39.55	37.02	55.08	6.67
1409.331	48.84	17.25	-74.22	7.08
1410.162	45.32	12.30	-46.54	7.70
1410.914	39.28	14.20	-8.34	7.23
1411.394	32.04	27.29	48.35	6.91
1412.082	12.47	52.78	-44.52	7.44
1412.771	10.65	50.01	87.34	8.14
1413.171	9.02	45.85	-79.25	8.00
1414.755	37.25	41.76	38.66	6.11
1415.171	47.36	24.45	88.05	6.73
1415.986	32.82	10.44	-25.89	7.37
1416.467	19.66	7.57	0.62	7.78
1417.299	13.18	32.10	82.68	7.26
1418.050	10.85	53.87	-78.37	7.07
1418.802	20.89	55.26	45.29	7.98
1419.970	37.52	48.76	55.19	7.33
1420.387	39.40	45.53	78.38	8.61
1421.139	41.20	33.99	-89.51	6.66
1421.762	40.28	13.92	-88.81	7.82
1422.163	38.44	10.88	-48.12	7.44
1422.851	22.87	9.86	25.73	7.10
1423.329	17.46	23.60	67.25	7.71
1424.018	12.20	55.32	-48.38	7.55
1424.434	29.63	56.58	1.73	6.53
1425.122	43.63	50.82	59.78	7.87
1425.874	44.92	32.14	88.81	7.76
1426.979	34.45	20.57	-55.92	7.44
1427.459	32.95	18.47	-45.77	7.53
1428.962	37.97	6.27	-66.82	7.54
1429.442	40.37	6.93	24.51	6.33
1430.130	47.30	21.92	69.40	7.85
1430.882	50.69	46.38	-88.95	7.09
1431.298	50.11	54.34	61.39	7.98
1432.049	38.69	55.81	-16.37	7.75
1432.867	22.32	54.65	-10.03	8.61
1433.282	18.16	54.54	-16.50	9.28
1434.035	20.83	48.38	83.29	7.69
1434.450	21.02	49.55	70.54	6.72
1435.202	47.24	36.20	22.41	6.83
1435.890	50.32	33.19	-85.48	7.32
1436.307	45.02	27.54	-37.49	7.44
1437.058	23.89	22.38	-23.36	7.79
1437.810	15.40	30.17	36.78	7.54
1438.291	12.31	40.08	72.44	7.29
1439.041	35.34	56.67	9.46	6.37
1439.810	50.01	44.01	66.41	7.87
1440.211	49.29	35.95	-79.01	7.19
1440.979	42.85	25.01	-53.69	6.84
1441.521	38.55	13.36	-68.88	6.94
1442.210	19.74	8.53	6.79	7.15
1442.898	10.56	15.07	47.59	7.65
1444.066	9.01	41.44	83.79	7.49
1444.819	9.46	55.64	-20.29	8.59
1445.219	11.37	55.81	-1.34	7.54
1445.843	16.88	54.71	37.51	8.11
1446.259	35.84	49.29	27.18	6.89
1447.010	54.49	31.05	86.74	7.76
1447.826	52.75	26.07	-66.43	7.84
1448.242	46.72	21.65	-36.28	7.71
1448.931	35.08	26.64	8.28	7.56
1449.411	24.29	32.98	31.47	7.91
1450.162	4.29	48.58	-54.71	7.77
1450.915	6.27	40.85	46.68	8.04
1451.395	18.15	39.25	15.79	7.38
1452.019	40.78	37.20	5.45	6.40
1452.435	51.88	25.92	85.13	7.35
1453.185	47.48	11.83	-59.55	7.04
1453.939	35.23	7.75	12.04	7.27
1454.355	23.83	10.96	9.81	7.38
1455.107	4.13	29.00	77.57	7.47
1455.859	24.33	54.17	-5.02	6.40
1456.275	47.30	50.63	44.47	6.40
1457.169	47.06	27.45	-50.29	7.77
1457.987	40.32	21.96	-65.67	7.62
1460.593	39.96	13.65	-48.19	7.25
1461.281	13.81	11.20	20.92	7.58
1461.907	3.47	42.15	83.46	7.50
1462.387	10.27	54.84	-22.41	7.33
1463.202	28.81	54.03	12.54	6.45
1464.099	52.06	43.35	71.96	8.23
1464.914	51.28	30.96	-77.30	8.29
1465.394	49.82	29.19	-58.28	7.15
1466.290	43.91	9.85	-55.16	7.06
1467.043	33.20	7.64	6.07	7.31
1467.874	18.12	22.28	72.63	8.01
1468.290	14.40	45.56	81.13	7.23
1469.169	44.38	53.84	25.38	7.02
1470.002	51.14	48.90	60.89	7.62
1470.481	50.68	40.75	-76.13	7.55
1471.379	50.19	39.34	-61.97	7.76
1472.130	42.80	36.43	-26.10	7.86
1472.883	32.36	32.97	-29.96	7.78
1473.362	28.05	31.10	-42.79	6.75
1475.010	34.73	16.73	44.79	6.90
1475.490	48.01	15.48	-36.56	7.34
1476.305	48.19	48.32	64.06	7.42
1477.139	39.63	54.46	-21.33	7.37
1477.891	31.41	51.98	-54.75	7.66
1478.434	28.10	49.45	-43.51	7.90
1479.203	15.96	50.31	7.60	7.60
1480.083	6.07	49.33	43.36	7.49
1480.915	19.20	44.26	37.41	8.32
1482.290	29.82	44.55	16.78	6.39
1483.171	44.39	30.05	-62.83	8.32
1485.650	40.96	21.98	-50.61	7.39
1486.466	27.33	13.88	1.34	7.93
1487.299	23.19	32.82	77.76	7.63
1488.115	48.24	51.73	41.31	7.60
1488.946	49.73	33.47	-77.56	7.91
1489.491	48.84	31.18	-65.70	7.31
1490.386	39.85	7.65	-20.10	7.87
1492.225	37.60	12.84	43.25	7.78
1493.123	44.57	38.98	87.07	6.72
1493.954	32.70	53.13	-51.55	7.79
1496.355	34.13	49.38	-85.96	7.90
1497.314	35.05	49.82	69.51	7.09
1498.274	33.35	25.99	-37.18	7.97
1499.091	16.59	19.13	-13.32	8.52
1499.987	3.91	49.49	-76.14	7.60
1500.466	23.58	56.22	-4.40	6.75
1501.011	46.28	48.55	66.94	7.64
1501.571	46.27	45.28	-76.26	8.13
1502.531	44.74	34.76	-77.45	7.26
1503.491	42.52	12.43	-49.47	7.38
1504.387	30.92	8.91	-9.83	6.80
1505.266	10.08	7.89	55.14	7.05
1506.163	8.34	15.33	61.53	6.68
1508.019	9.63	15.09	-85.98	6.28
1509.042	25.16	22.77	-37.50	6.70
1510.003	45.93	55.06	13.42	7.46
1510.562	41.17	54.96	-23.84	7.77
1512.339	35.27	23.16	-45.19	6.72
1513.171	9.94	16.67	81.78	7.87
1514.130	8.55	47.58	-78.25	7.31
1515.090	49.36	51.81	46.85	7.45
1516.050	48.52	43.40	-71.87	7.52
1516.595	45.29	31.16	-64.32	7.48
1517.554	31.17	25.78	-14.04	8.12
1518.514	17.29	17.40	-51.50	7.86
1519.410	16.34	7.01	34.86	6.79
1520.306	35.20	15.97	-66.05	7.16
1521.186	41.89	53.15	-5.18	8.27
1522.082	30.00	51.04	-19.32	7.67
1523.043	8.51	52.74	-85.25	7.64
1523.603	10.57	50.38	50.57	8.67
1524.483	18.84	31.28	81.09	7.26
1525.378	31.10	6.87	-5.78	6.91
1526.338	51.53	29.26	77.42	7.20
1527.234	49.30	55.48	12.30	7.46
1528.194	44.01	55.95	-33.13	7.42
1529.970	10.93	51.85	-35.24	7.17
1530.530	7.12	47.58	-87.23	7.87
1531.491	4.70	40.05	-60.22	8.69
1532.387	2.49	39.53	-23.85	5.60
1534.513	4.02	39.57	79.26	6.44
1535.475	38.52	27.77	67.95	7.14
1536.433	40.06	19.53	-82.79	7.62
1539.314	31.30	9.88	23.32	7.37
1540.273	27.08	13.92	60.73	6.92
1541.235	8.85	52.16	-18.31	7.16
1542.130	6.14	48.86	64.63	7.10
1543.090	27.33	32.57	84.70	7.56
1544.050	26.39	29.38	-68.19	7.84
1545.074	31.51	17.26	62.85	7.42
1546.099	48.42	17.55	-78.35	7.27
1547.139	38.28	50.61	8.51	7.75
1548.098	22.68	51.51	-43.57	6.96
1549.122	7.43	44.18	36.89	7.65
1551.042	30.49	17.14	-87.62	6.72
1551.667	15.18	5.20	-25.24	7.49
1553.714	39.60	35.84	-53.63	6.47
1554.690	38.78	53.32	-31.97	7.47
1555.714	39.87	52.77	-65.06	6.84
1556.737	47.11	10.98	84.21	7.11
1557.699	35.60	10.86	5.17	7.41
1558.738	29.10	43.16	62.66	7.09
1559.762	14.28	51.32	-65.70	8.20
1560.723	9.31	51.59	-16.30	7.22
1562.914	37.56	25.47	-76.19	7.79
1563.874	28.27	19.18	-10.06	7.38
1564.835	25.13	18.41	-38.52	6.83
1565.939	30.18	39.18	-81.90	6.76
1567.042	53.42	52.58	81.66	7.92
1568.130	46.16	43.52	-31.22	7.70
1569.234	26.06	18.00	-64.53	7.21
1570.258	13.86	10.76	-40.58	7.07
1571.283	14.94	12.04	-9.10	4.65
1572.450	31.42	44.20	-41.36	7.45
1573.411	47.33	34.47	-74.31	7.67
1574.450	37.75	18.19	-27.97	7.51
1575.539	8.11	36.33	75.01	7.09
1576.578	43.25	51.20	51.14	7.19
1577.603	44.10	44.17	-78.53	7.60
1578.705	34.20	9.65	-13.71	7.02
1579.730	14.50	25.47	65.42	7.31
1580.835	10.25	56.91	-15.74	7.85
1581.923	45.33	46.09	83.57	7.49
1582.962	46.20	9.84	-24.09	7.02
1583.987	17.65	7.37	-31.91	7.33
1586.179	28.66	45.88	79.79	7.43
1587.282	9.90	52.64	-15.73	7.75
1588.451	8.23	45.84	23.10	7.10
1589.539	44.79	26.48	-81.10	7.82
1590.643	39.10	21.69	-18.45	7.69
1591.667	27.16	30.51	7.83	7.83
1592.914	11.77	27.20	-54.33	7.02
1594.067	17.32	23.79	-4.14	6.94
1595.235	53.48	51.98	46.35	7.06
1596.482	28.98	51.80	-8.33	7.67
1597.634	15.36	46.80	-59.11	7.26
1598.883	17.12	46.10	53.18	7.50
1600.051	18.67	20.41	-52.94	7.42
1601.282	16.82	18.31	-61.69	7.42
1602.659	31.66	11.72	-4.70	7.21
1603.827	45.78	47.41	39.48	7.66
1605.059	26.33	56.18	11.06	7.66
1606.227	13.05	53.39	-60.57	6.67
1607.395	13.51	52.15	-81.18	8.26
1608.690	15.42	42.42	38.21	8.43
1609.922	19.43	39.14	45.36	8.51
1611.235	15.60	24.69	-78.87	8.27
1612.531	16.10	23.30	49.94	7.84
1613.906	38.44	50.85	3.89	7.54
1615.283	6.17	53.11	-10.59	6.98
1616.515	7.21	52.82	-55.21	6.20
1617.746	8.26	49.81	84.41	7.37
1619.058	9.92	43.89	76.36	8.15
1620.355	26.56	29.55	-88.49	7.35
1621.666	19.15	22.57	-26.97	6.61
1622.961	20.23	23.17	-2.50	4.61
1624.273	21.06	51.14	66.10	7.81
1625.570	12.52	50.25	-42.55	7.50
1626.883	12.66	43.46	72.53	7.57
1628.178	22.56	8.89	-13.02	7.15
1629.411	4.30	45.50	-84.89	7.84
1630.659	29.40	50.17	35.89	6.96
1631.954	37.39	39.65	89.96	7.16
1633.331	25.89	13.19	-11.30	7.27
1634.707	12.87	29.61	15.99	7.29
1636.003	10.50	25.26	-84.62	7.04
1637.506	13.91	5.73	47.92	6.66
1638.883	43.96	43.30	46.12	7.45
1640.195	17.95	52.14	-12.26	7.56
1641.699	11.57	42.05	71.85	8.74
1643.075	40.02	18.41	-62.62	7.55
1644.451	29.52	21.86	13.67	6.96
1645.747	42.82	51.66	-38.46	7.49
1647.122	43.02	20.17	-81.83	7.09
1648.419	25.60	7.51	20.00	7.40
1649.939	12.96	55.03	-25.83	7.28
1651.314	40.85	35.49	87.35	7.07
1652.755	45.15	8.16	-28.96	6.74
1654.194	36.04	12.66	22.60	7.51
1655.555	6.48	55.47	-53.56	7.60
1656.931	33.26	48.35	29.42	6.42
1658.643	39.12	16.51	-75.45	7.77
1660.227	17.18	9.40	31.21	7.47
1661.810	18.44	24.22	-72.19	7.79
1663.458	22.31	52.12	-66.63	7.81
1664.963	12.58	37.64	73.24	8.11
1666.675	12.21	5.71	37.32	7.29
1668.259	51.31	37.44	88.81	6.51
1669.841	29.80	52.57	4.33	7.41
1671.411	10.15	35.30	86.72	7.55
1672.931	10.33	29.65	62.89	7.10
1674.642	36.78	19.96	5.96	6.90
1676.147	45.69	45.61	12.45	7.36
1677.666	7.05	54.33	-7.08	7.26
1679.379	9.60	35.49	66.09	8.05
1681.026	16.80	6.18	-19.26	7.16
1682.675	42.90	49.52	-5.71	7.32
1684.243	24.81	49.53	-19.64	7.56
1685.971	12.09	40.04	70.91	8.80
1687.683	14.89	29.95	57.50	8.40
1689.602	43.75	21.46	-29.89	7.65
1693.026	40.20	18.26	-16.30	7.14
1694.882	12.00	47.37	-45.24	7.52
1696.674	36.16	25.18	83.35	7.45
1698.595	32.26	15.30	-52.02	5.41
1700.242	6.52	45.84	74.44	7.78
1703.731	47.92	30.58	-81.96	7.15
1705.586	6.87	34.19	76.42	7.69
1707.378	43.28	44.29	-63.12	7.99
1709.155	23.15	21.42	-58.51	7.59
1711.011	14.47	9.80	-47.21	6.64
1712.867	34.86	53.46	-14.92	6.88
1714.786	35.22	26.89	-47.34	7.59
1716.771	23.47	9.26	39.34	7.48
1718.626	10.19	49.38	-33.71	7.19
1720.338	10.74	33.69	80.56	7.66
1722.066	11.81	28.23	65.38	7.25
1723.987	15.62	19.03	88.84	7.48
1725.763	49.70	12.16	-38.53	7.32
1727.618	32.06	46.34	-0.54	7.84
1729.409	3.35	50.52	86.33	8.11
1731.187	9.26	42.03	57.02	7.86
1733.042	27.03	11.06	65.70	7.39
1734.963	50.85	53.93	-66.11	7.48
1735.922	35.83	53.82	-17.97	7.45
1738.050	10.93	45.70	82.63	6.97
1740.179	14.01	20.28	67.49	7.51
1742.434	23.63	49.86	-6.16	6.93
1744.563	7.89	24.86	-51.85	6.79
1746.978	45.00	8.76	83.19	6.91
1749.171	7.35	45.65	72.37	7.97
1751.363	35.39	43.39	-85.29	7.81
1753.491	18.35	27.58	-50.93	7.34
1755.682	15.79	5.64	-72.33	7.93
1757.954	16.39	7.29	-81.89	5.77
1760.210	48.22	38.88	88.72	7.08
1762.418	13.64	36.89	29.58	7.91
1764.611	29.75	9.35	-85.02	8.52
1766.867	32.33	55.65	-6.53	7.26
1768.866	21.24	40.94	72.08	7.70
1771.058	30.33	4.95	-71.92	8.06
1773.331	36.84	23.43	74.86	7.97
1775.795	7.92	50.03	63.82	7.45
1778.051	8.89	50.95	24.78	6.80
1780.322	8.48	44.99	-83.17	7.24
1782.594	36.31	11.65	2.31	7.42
1784.643	29.06	18.99	60.45	7.66
1786.914	14.02	50.33	-20.39	6.95
1789.043	31.22	9.82	-15.08	6.43
1791.299	3.99	49.93	-67.60	7.17
1793.634	7.89	45.58	19.01	7.41
1795.907	47.69	21.72	-52.19	7.09
1798.434	3.37	57.59	5.66	6.90
1800.979	37.43	16.49	64.79	7.52
1803.731	25.50	53.52	-8.51	6.92
1806.738	29.64	25.55	-60.50	7.75
1809.763	22.35	9.00	-39.91	8.64
1812.850	41.01	21.26	-73.09	7.16
1815.666	45.52	41.80	64.81	6.89
1818.482	7.13	6.25	-16.81	8.37
1821.571	9.64	5.48	-54.20	5.85
1824.515	48.83	40.35	-82.00	7.68
1827.475	17.71	17.45	-70.47	7.97
1830.626	47.96	34.74	73.86	7.02
1833.715	7.83	34.29	61.24	7.98
1836.737	11.45	20.77	24.05	6.73
1839.826	49.81	34.69	-69.41	8.40
1842.915	37.26	43.34	-89.29	7.31
1845.922	47.22	33.96	74.44	7.49
1849.154	13.44	33.31	59.06	7.03
1852.386	43.43	10.80	-47.93	7.55
1856.019	33.77	45.83	30.86	7.03
1859.443	14.50	22.73	-85.13	7.34
1862.739	25.85	11.70	-28.67	7.53
1866.386	12.06	24.76	6.84	5.07
1869.747	21.07	9.67	-19.63	6.93
1872.963	17.81	41.52	66.84	7.56
1876.674	27.13	6.02	-17.41	6.29
1880.179	29.49	12.74	-34.29	7.23
1883.475	46.79	51.31	65.24	8.09
1887.106	11.95	6.20	-40.43	7.48
1890.675	10.45	41.50	-79.00	7.15
1894.307	36.30	5.47	-24.46	7.00
1897.747	29.35	36.19	-79.93	7.76
1901.379	20.38	4.03	-83.89	7.23
1904.675	50.89	38.00	-64.58	7.75
1907.971	15.91	39.94	58.05	6.90
1911.187	25.82	28.29	3.19	7.42
1914.755	50.29	27.02	-74.73	6.95
1918.195	7.79	34.79	37.35	7.25
1921.619	43.33	44.50	34.68	7.17
1925.265	17.21	11.38	16.38	7.56
1928.898	26.73	45.90	17.44	7.29
1932.675	20.66	28.61	56.29	6.62
1936.451	29.76	50.29	30.94	7.20
1940.226	8.48	13.79	-31.56	8.02
1944.194	27.85	43.60	-19.47	6.72
1948.115	14.58	55.45	0.28	6.64
1952.370	26.10	8.41	-27.85	6.70
1956.626	32.50	17.24	-38.88	7.52
1961.011	35.92	55.64	-28.83	7.40
1965.266	41.45	8.95	-1.81	6.47
1969.586	13.31	33.68	55.21	8.18
1973.843	33.74	14.41	16.74	7.45
1978.722	51.50	21.11	-71.21	7.45
1983.186	21.80	9.59	-4.73	7.22
1987.779	17.14	23.83	-85.57	7.68
1991.763	52.83	45.25	82.88	8.30
1996.563	9.34	14.02	-39.26	5.69
2001.155	37.60	15.15	-53.37	7.42
2005.827	23.24	14.62	83.23	7.37
2010.147	17.27	33.34	0.05	7.46
2014.611	21.69	56.86	1.44	6.73
2018.931	18.84	55.63	-40.71	7.13
2023.810	15.13	5.45	-72.83	7.35
2028.546	2.98	47.42	-73.81	7.42
2032.995	49.19	34.22	-85.69	7.09
2038.082	18.31	5.97	10.35	6.89
2042.755	24.77	46.07	28.22	7.18
2047.955	45.96	41.21	-83.95	7.05
2052.835	9.12	51.21	-85.76	6.73
2058.115	20.90	12.49	29.49	6.42
2063.602	16.77	14.90	36.73	7.92
2069.235	31.27	4.22	14.85	7.28
2074.803	7.39	40.25	79.53	7.92
2080.003	2.87	50.96	60.49	7.95
2085.507	9.20	21.27	89.26	7.29
2091.395	10.28	26.82	78.52	7.25
2097.026	39.38	50.70	22.27	6.82
2102.307	7.15	48.85	21.52	8.20
2108.003	49.55	23.43	48.71	7.18
2113.699	14.61	45.63	-67.43	5.92
2119.746	39.74	17.60	-11.59	7.76
2125.650	14.56	11.59	48.35	7.36
2131.555	31.59	56.07	1.22	6.83
2138.211	39.22	52.91	-32.76	7.52
2144.722	27.58	51.96	-75.14	8.47
2151.314	52.21	46.45	58.91	7.08
2157.619	37.77	10.66	41.57	7.46
2164.355	19.04	8.74	-43.83	7.34
2171.283	10.67	15.60	57.82	7.71
2177.667	22.45	5.62	66.13	6.33
2183.571	4.16	38.76	-85.40	8.28
2189.667	6.82	50.97	-54.49	6.88
2196.530	9.01	52.84	-3.09	7.16
2203.266	2.77	43.79	35.68	5.25
2209.715	30.71	37.47	82.63	7.66
2215.474	11.58	54.12	54.50	7.67
2222.130	49.53	30.30	60.36	7.60
2228.994	27.63	53.50	61.48	7.81
2235.859	35.86	49.83	61.44	7.83
2243.139	4.42	31.00	-87.19	7.97
2250.754	15.32	53.77	47.12	7.64
2258.163	43.94	19.05	-80.59	7.91
2265.363	14.15	4.50	8.39	6.98
2272.851	4.62	14.76	64.41	7.60
2280.403	10.20	46.52	63.25	5.87
2287.603	15.64	4.61	73.32	7.49
2293.923	14.41	20.24	57.77	7.44
2300.371	37.64	39.80	54.63	6.33
2306.755	37.20	23.66	-48.41	7.54
2313.331	3.05	53.52	43.53	7.42
2320.611	21.40	29.46	-89.91	6.61
2327.891	13.45	46.17	27.28	7.61
2334.611	8.17	46.26	27.44	8.02
2341.603	17.04	15.51	78.08	7.85
2348.466	10.67	51.91	21.91	7.62
2355.411	11.47	34.75	-71.85	7.76
2362.610	27.73	18.64	39.70	7.63
2369.683	15.13	29.39	74.74	8.07
2376.338	4.30	41.86	53.36	7.64
2383.603	48.42	28.18	-27.15	7.04
2390.819	39.19	15.03	14.69	7.57
2398.290	34.46	53.29	-20.46	9.24
2406.050	37.03	56.16	3.73	6.31
2413.395	29.98	41.23	85.81	8.29
2420.739	6.11	43.77	18.85	8.31
2428.083	17.92	50.08	59.02	8.18
2434.803	21.74	38.69	-41.14	6.73
2441.250	48.97	49.96	57.10	7.95
2448.260	42.22	14.94	-74.88	6.80
2455.187	10.63	27.28	-26.06	7.19
2461.843	51.29	13.02	-34.66	7.55
2468.162	6.63	46.32	64.43	8.11
2474.610	16.46	41.39	8.79	7.38
2480.915	29.38	22.51	-47.08	7.74
2487.170	22.27	11.90	-26.01	7.49
2493.746	6.44	43.73	84.28	7.93
2500.547	8.78	55.10	-8.55	7.16
2507.538	28.51	52.94	65.34	7.69
2514.067	12.06	54.41	-2.29	7.45
2520.579	36.87	40.60	-18.40	7.01
2527.171	8.55	49.09	84.82	7.78
2534.098	6.72	44.58	82.55	7.49
2540.899	5.74	50.90	-57.38	6.86
2547.491	4.66	51.23	-69.92	7.57
2554.147	22.30	48.47	83.95	7.53
2561.138	50.14	9.16	6.26	6.92
2567.796	3.17	30.72	-26.22	5.08
2574.387	13.67	5.24	87.30	7.22
2580.915	7.09	29.46	55.11	7.56
2587.491	23.24	12.46	-31.11	6.96
2594.083	17.93	4.46	-40.10	7.34
2600.466	34.86	5.21	83.81	7.07
2606.579	48.34	45.01	-56.47	8.15
2612.403	11.80	50.93	-58.67	7.60
2618.930	19.59	7.21	18.86	6.51
2625.314	16.69	52.11	43.56	7.54
2631.410	21.20	51.14	3.11	6.77
2637.859	24.40	8.69	-73.80	7.47
2643.906	13.20	19.15	-50.09	6.60
2650.211	8.42	43.47	32.69	5.01
2656.946	10.17	54.04	56.13	7.74
2663.059	11.71	27.18	48.94	7.48
2669.570	3.07	22.40	-83.59	7.60
2675.682	10.37	27.89	81.60	7.23
2681.986	9.52	25.33	62.12	7.18
2688.307	5.44	44.42	65.81	6.71
2694.339	5.51	45.54	83.41	5.09
2707.522	22.30	48.79	15.41	7.92
2713.827	40.40	41.99	52.89	6.89
2720.499	52.43	34.38	80.50	6.86
2726.386	3.92	44.26	63.76	5.07
2739.219	20.46	13.93	-15.32	7.50
2745.122	7.23	41.30	46.63	5.60
2751.171	17.37	7.73	31.18	7.40
2757.267	22.91	55.20	3.32	6.31
2763.106	8.81	47.95	-10.93	7.75
2769.138	23.47	52.70	-36.31	7.20
2775.123	47.63	9.10	-84.30	6.96
2781.363	8.65	50.96	80.99	6.31
2793.506	9.71	51.24	34.25	7.11
2800.162	44.01	48.23	-62.37	7.51
2806.403	34.94	11.64	-15.72	6.79
2812.994	40.19	10.47	-32.08	7.06
2819.315	7.37	54.21	32.35	5.89
2826.035	13.96	47.28	-63.01	8.15
2832.899	5.78	44.24	42.70	6.51
2838.867	5.31	30.93	68.74	7.79
2845.394	10.85	55.70	52.14	6.08
2860.963	8.41	45.38	-74.27	7.21
2868.370	37.64	16.17	75.35	7.29
2875.795	14.47	12.78	66.69	6.95
2883.059	13.89	46.68	65.47	7.14
2890.675	22.31	56.54	-1.65	6.73
2898.499	43.88	39.22	-57.66	6.95
2906.195	4.07	45.53	24.39	5.32
2914.419	14.83	54.81	-74.26	5.96
2922.451	20.26	36.86	85.10	6.84
2930.627	5.06	42.89	71.20	5.38
2955.187	4.28	52.88	63.14	7.46
2963.283	5.24	54.21	-30.23	7.55
2971.315	7.54	55.39	80.06	6.06
2979.970	10.91	51.66	48.10	7.41
2988.819	36.14	40.65	66.80	7.00
2997.331	11.25	49.44	-67.03	6.29
3005.554	18.83	52.10	79.25	7.54
3014.418	41.70	48.98	-78.86	7.24
3022.723	11.08	55.29	68.01	5.85
3031.571	5.57	49.37	57.95	6.33
3040.082	42.90	29.26	-68.74	6.40
3048.242	34.25	5.47	84.95	7.13
3056.819	6.21	44.81	38.32	5.53
3065.474	16.78	55.44	6.97	7.16
3073.779	5.66	40.92	28.71	6.27
3082.147	26.79	45.84	80.20	7.31
3090.179	6.05	46.50	54.59	7.62
3099.378	28.90	38.97	-55.84	7.35
3107.603	5.23	46.18	58.84	5.78
3124.355	15.83	13.34	5.73	6.81
3133.890	5.42	53.22	53.05	5.39
3142.739	7.83	32.43	-70.97	7.70
3152.482	39.44	11.26	-48.78	7.31
3162.019	18.80	55.86	-72.19	5.65
3172.051	12.73	19.91	54.46	7.21
3181.315	9.91	39.89	83.26	7.54
3190.786	48.21	30.67	-38.46	7.24
3200.114	37.38	12.84	41.13	7.13
3209.523	10.87	56.52	71.95	6.27
3218.707	4.83	53.21	-2.80	7.50
3227.635	4.79	41.67	76.02	6.55
3236.963	9.39	55.97	81.00	5.32
3251.315	4.02	13.65	-50.92	7.49
3261.059	24.94	52.32	-60.83	5.88
3269.843	4.19	45.38	48.06	7.38
3279.380	15.51	14.39	-75.64	6.50
3288.290	7.20	38.80	74.25	6.89
3297.075	19.79	9.78	23.23	7.45
3305.794	13.74	54.80	28.11	7.38
3314.995	2.44	48.29	31.79	5.89
3323.571	48.40	51.57	16.82	7.21
3332.419	3.63	38.47	63.04	5.73
3341.763	16.41	42.72	4.68	6.78
3351.026	4.79	37.90	63.66	6.71
3359.810	4.06	39.34	30.91	4.87
3377.987	8.01	55.91	-72.61	6.23
3387.043	40.84	4.76	-44.37	6.50
3396.866	2.75	47.06	84.34	5.59
3406.531	10.66	31.34	-40.40	6.73
3416.083	9.02	18.14	-66.73	6.94
3425.410	2.72	49.85	54.87	6.14
3435.491	7.49	14.33	-55.49	7.29
3445.171	27.15	45.13	9.83	6.38
3454.706	5.87	47.49	65.05	6.35
3463.636	14.32	49.37	-4.09	6.62
3468.035	17.51	52.48	61.28	7.54
3476.611	49.58	36.46	67.82	6.90
3485.732	29.22	17.99	-69.74	6.85
3494.658	46.66	12.45	-26.06	7.19
3502.962	9.07	53.22	23.81	6.67
3511.267	18.60	58.32	46.62	7.65
3528.211	2.03	55.83	22.96	8.95
3537.138	5.14	51.33	48.75	7.55
3545.443	6.35	53.41	38.43	6.81
3554.147	41.23	49.31	-66.17	8.10
3563.411	13.73	57.15	58.25	7.63
3572.675	36.19	52.70	46.24	5.49
3582.771	40.91	53.80	-71.81	7.32
3591.683	46.78	21.13	-62.65	7.36
